name,website,kategorie
Omnisec AG,http://www.omnisec.ch,Abhörschutzsysteme für Fernmeldegeräte
Crypto AG,http://www.crypto.ch,Abhörschutzsysteme für Fernmeldegeräte
United Heads KG,https://www.m-s-c.net/shop,Abhörschutzsysteme für Fernmeldegeräte
ITALIA TECNOLOGIE DI PONTOGLIO GIOVANNI SNC,,Assemblieranlagen
Advanced Technical Services GmbH,http://www.ats-technology.com,Atom-Absorptionsspektrometer (AAS)
Trötschler Industrie- und Gewerbebau GmbH,http://www.troetschler.de,"Autohäuserbau, komplett (schlüsselfertig)"
PENTA International AG,http://www.penta.li,Atmungsüberwachungsmonitore
Dräger Schweiz AG,http://www.draeger.com,Atmungsüberwachungsmonitore
Merz Brothers GmbH,http://www.merzbrothers.at,Atom-Absorptionsspektrometer (AAS)
Megamed AG,http://www.megamed.ch,Atmungsüberwachungsmonitore
SANTRONIC AG,http://www.santronic.ch,Atmungsüberwachungsmonitore
Nufer Medical AG,http://www.nufer-medical.ch,Atmungsüberwachungsmonitore
Philips GmbH Zweigniederlassung Respironics,http://www.healthcare.philips.com,Atmungsüberwachungsmonitore
ANANDIC MEDICAL SYSTEMS AG,http://www.anandic.com,Atmungsüberwachungsmonitore
Naturella Getränke GmbH & Co KG,http://www.naturella.de,Apfelsäfte
Streker Natursaft GmbH,http://www.streker.de,Apfelsäfte
albi GmbH & Co.KG,http://www.albi.de,Apfelsäfte
7 Kings Senses International,http://www.7kingsenses.com,"Audiogeräte, tragbare"
Fruchtsaftkellerei Geiger GbR,http://www.geigergbr.de,Apfelsäfte
IMPRESSIV DRESDEN Ingolf Kaule,http://www.kaule-dd.im-press.de,"Audiogeräte, tragbare"
Elektronikvertrieb Lauschner,http://www.andreaslauschner.de,"Audiogeräte, tragbare"
Audio-Video Müller GmbH,http://www.av-mueller.de,"Audiogeräte, tragbare"
Horn Audio-Video-Systeme Inh. Chris Horn,http://www.horn-avs.de,"Audiogeräte, tragbare"
Verbalue UG (haftungsbeschränkt),http://www.verbalue.de,"Audiogeräte, tragbare"
Iveco Nord Nutzfahrzeuge GmbH,http://www.iveco-nord.de,Automobile
S.K. Handels GmbH,http://www.sk-handels-gmbh.de/?utm_source=wlw,Automobile
VistaVision oHG,http://www.vista-vision.de,"Audiogeräte, tragbare"
Jürgen Tobisch Subtitling Ihn.  Jürgen Tobisch,http://www.jt-subtitling.com,Audiodeskription für visuelle Medien
ACTIVline GmbH & Co. KG,http://www.activline.de,Automobile
HighPots ThinkFab GmbH & Co.KG,https://www.highpots.de,Anforderungsmanagement-Software
Oskar Lehmann GmbH & Co KG,http://www.olplastik.de,Automobile
Fresen IT e.K.,https://fresen-it.de,Anforderungsmanagement-Software
EURO-LOG AG,http://www.eurolog.com,Anforderungsmanagement-Software
NGN-Europe SE,http://ngn-europe.com,Anforderungsmanagement-Software
Performantik GmbH & Co. KG,http://www.performantik.de,Anforderungsmanagement-Software
Sonapro Informationssysteme GmbH,http://www.sonapro.de,Anforderungsmanagement-Software
Whiteblue Consulting GmbH,http://www.whiteblue.com,Anforderungsmanagement-Software
Gedys IntraWare GmbH,http://www.gedys-intraware.de,Anforderungsmanagement-Software
Schipper Company GmbH,https://www.schippercompany.com,Anforderungsmanagement-Software
affinis application services GmbH & Co. KG,http://www.affinis-as.de,Anforderungsmanagement-Software
ARCWAY AG,http://www.arcway.com,Anforderungsmanagement-Software
pliXos GmbH,http://www.plixos.com,Anforderungsmanagement-Software
Ingentive Networks GmbH,http://www.ingentive.net,Anforderungsmanagement-Software
Step Ahead GmbH,http://www.stepahead.de,Anforderungsmanagement-Software
BALance Technology Consulting GmbH,http://www.bal.eu,Anforderungsmanagement-Software
conceito GmbH Logistikberatung und IT-Projektmanagement mbH,https://www.conceito.eu,Anforderungsmanagement-Software
Opacc (Deutschland) GmbH,http://www.opacc.com,Anforderungsmanagement-Software
PRISMA Software Engineering GmbH,http://www.prisma-software.de,Anforderungsmanagement-Software
mIT solutions GmbH,http://www.echolon.de,Anforderungsmanagement-Software
SAP SE,https://www.sap.com,Anforderungsmanagement-Software
Contec-X GmbH,http://www.contec-x.com,Anforderungsmanagement-Software
expertplace solutions GmbH,https://ceiton.com,Anforderungsmanagement-Software
